####################
## BD Rhapsody Targeted Analysis Pipeline Version 1.11.1
## Analysis Date - Tue Feb 07 2023 13:03:51 GMT+0000 (UTC)
## Libraries - cells - Bead version detected: Enhanced
## References - 2276_20220531_chang_to_rpl36a_amplicons.fasta | MyAbSeqPanel.fasta
## Parameters - Sample Tag Version: mm | Sample Tag Names:  | VDJ Version: None | Subsample Reads: None | Putative Cell Calling Type: mRNA | Refined Putative Cell Calling: Off | Exclude Intronic Reads: Off | Exact Cell Count: 100
####################
Cell_Index,Sample_Tag,Sample_Name
7243072,Undetermined,Undetermined
4753157,Undetermined,Undetermined
8267932,Undetermined,Undetermined
7405530,Undetermined,Undetermined
7983433,Undetermined,Undetermined
1164,Undetermined,Undetermined
305363,SampleTag01_mm,SampleTag01_mm
2510987,Undetermined,Undetermined
6215132,Undetermined,Undetermined
30353,Undetermined,Undetermined
10175248,Undetermined,Undetermined
9473754,SampleTag03_mm,SampleTag03_mm
2090208,Undetermined,Undetermined
6367528,SampleTag01_mm,SampleTag01_mm
7695391,SampleTag01_mm,SampleTag01_mm
9446463,Undetermined,Undetermined
9892316,Undetermined,Undetermined
10481686,SampleTag01_mm,SampleTag01_mm
9152684,Undetermined,Undetermined
5784982,Undetermined,Undetermined
6800349,SampleTag01_mm,SampleTag01_mm
10330078,Undetermined,Undetermined
8405806,SampleTag01_mm,SampleTag01_mm
8416901,Undetermined,Undetermined
9613135,Undetermined,Undetermined
8713787,Undetermined,Undetermined
2543289,SampleTag01_mm,SampleTag01_mm
1509915,SampleTag03_mm,SampleTag03_mm
1799438,Undetermined,Undetermined
2079807,SampleTag11_mm,SampleTag11_mm
7693075,Undetermined,Undetermined
1949217,Undetermined,Undetermined
6069190,SampleTag01_mm,SampleTag01_mm
2099766,SampleTag03_mm,SampleTag03_mm
3563964,Undetermined,Undetermined
5160998,Undetermined,Undetermined
6785717,Undetermined,Undetermined
2538660,SampleTag01_mm,SampleTag01_mm
5328779,Undetermined,Undetermined
2389657,Undetermined,Undetermined
5343016,SampleTag02_mm,SampleTag02_mm
6658620,SampleTag01_mm,SampleTag01_mm
314929,SampleTag08_mm,SampleTag08_mm
2522515,SampleTag01_mm,SampleTag01_mm
12842538,Undetermined,Undetermined
5926310,SampleTag02_mm,SampleTag02_mm
1797122,SampleTag02_mm,SampleTag02_mm
4732851,Undetermined,Undetermined
8116618,SampleTag03_mm,SampleTag03_mm
11538097,Undetermined,Undetermined
12558028,Undetermined,Undetermined
5463585,SampleTag05_mm,SampleTag05_mm
14029829,Undetermined,Undetermined
4155297,Undetermined,Undetermined
10937510,Undetermined,Undetermined
10785835,Undetermined,Undetermined
13124782,Undetermined,Undetermined
12560273,Undetermined,Undetermined
4146098,Undetermined,Undetermined
11661758,Undetermined,Undetermined
6193184,Undetermined,Undetermined
330261,Undetermined,Undetermined
7546029,Undetermined,Undetermined
13123658,Undetermined,Undetermined
1787564,Undetermined,Undetermined
3569368,Undetermined,Undetermined
8143512,Undetermined,Undetermined
25040,Undetermined,Undetermined
157841,Undetermined,Undetermined
6228186,Undetermined,Undetermined
3268694,Undetermined,Undetermined
6348767,Undetermined,Undetermined
4885340,Undetermined,Undetermined
5018926,Undetermined,Undetermined
7972283,Undetermined,Undetermined
2079808,Undetermined,Undetermined
4305474,Undetermined,Undetermined
9162324,Undetermined,Undetermined
10187216,Undetermined,Undetermined
10327708,Undetermined,Undetermined
5189062,Undetermined,Undetermined
7112148,Undetermined,Undetermined
6228103,Undetermined,Undetermined
6657825,Undetermined,Undetermined
5185967,Undetermined,Undetermined
4283522,Undetermined,Undetermined
7675862,Undetermined,Undetermined
5331545,Undetermined,Undetermined
6215509,Undetermined,Undetermined
3103568,Undetermined,Undetermined
6809519,Undetermined,Undetermined
7107103,Undetermined,Undetermined
10190230,Undetermined,Undetermined
7236933,Undetermined,Undetermined
9732142,Undetermined,Undetermined
5162129,Undetermined,Undetermined
7243433,Undetermined,Undetermined
7987643,Undetermined,Undetermined
8705347,Undetermined,Undetermined
